,ceNumber,title,source,firstAppeared,tune,creditMusic,creditArrangement,creditLyrics,creditLyricsEdits,creditCopyright,lyricsFirstLineBody,lyricsFirstLineChorus,scriptureReference,inscription
249,250,Sweet Rivers,143,1,,from Southern Harmony,arr. ,,,,Sweet rivers of redeeming love,,,
250,251,Twill Be Glory By And By,531,11,,"John B. Vaughan, 1860-1918",,"John B. Vaughan, 1860-1918",,,My Redeemer has gone to prepare,How I long for that rest,,
251,252,What Empty Things,PBH - 287,OSH11,"MAITLAND, C.M.","George N. Allen, 1812-1877 (1844)",,"from Isaac Watts, 1674-1748",,,What empty things are all the skies,,,
252,253,In Worlds On High,471,9,,"J.B.F. Wright, 1877-1959",,"J.B.F. Wright, 1877-1959",,,"There is a land, a golden strand","In worlds on high, in yonder sky",,
253,254,Not Made With Hands,113,4,,,,,,,Christ went a building to prepare,"I know, I know, I have another ",,
254,255,Great Is Thy Faithfulness,205,10,,"William M. Runyan, 1870-1957",,"T.O Chisholm, 1866-1960",,"© Copyright 1923, renewal 1951 Hope Publishing Co. Carol Stream, IL 60188.
All rights reserved. Used by permission.","Great is Thy faithfulness, O God, my Father",Great is Thy faithfulness,Lamentations 3:23,
255,256,Passing Away,399,2,C.M. with Chorus,John A Watson,"arr. by Elder Roland Green, 1924-2011",,,,Sweet to rejoice in lively hope that when,We are passing away,,
256,257,The Lord’s Promised Day,607,12,,"Elder Langdon Huffman, 1938-2016 (1988)",,"Elder Langdon Huffman, 1938-2016 (1988)",,"© Copyright 2001 Old School Hymnal Co., Inc. All rights reserved.","Blessed Jesus, precious Savior",When the evening shades are falling,2nd Peter 3:10-13,
257,258,My Faith Looks Up To Thee,166,1,OLIVET,"Lowell Mason, 1792-1872 (1830)",,"Ray Palmer, 1808-1887 (1830)",,,My faith looks up to Thee,,,
258,259,Near The Cross,61,10,7.6.7.6. with Chorus,"William H. Doane, 1832-1915 (2869)",,"Fanny J. Crosby, 1820-1915 (1869)",,,"Jesus, keep my near the cross","In the cross, in the cross",,
259,260,Faith Reviving,SOZ - 9,OSH100,IVEY,"Elder Bryce H. Lowrance, 1970-  (2016)",,"Augustus Toplady, 1740-1778 (1777)",,© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.” All rights reserved. Used by permission.,From whence this fear and unbelief?,,,"Dedicated to my Father-in-the-Ministry, Elder Michael N. Ivey."
260,261,The Saints Bound for Heaven,PBH - 456,OSH100,,J. King & William Walker (1834),,,,,"Our bondage, it shall end, by and by",,Hebrews 2:15,
261,262,Sowing and Reaping,131,12,,"Bro. Royce Sellers, 1941-  (1993)",ed. for Old School Hymnal (2020),"Elder Ralph E. Harris, 1938-2016",,"© Copyright 2001 Old School Hymnal Co., Inc. All rights reserved.","Dear child of God, dost thou not know",,,
262,263,I Would See Jesus,164,9,,L.P. Breedlove,"alto by Elder A.N. Whitten, 1856-1949","Vs. 2,3, & 4 - William Cowper, 1731-1800",,,I would see Jesus when the flowers of joy,,,
263,264,Faith Of Our Fathers,215,10,"ST. CATHERINE, 8.8.8.8.8.8.","H.F. Hemy, 1818-1888 (1864)","arr. by James G. Walton, 1821-1905","Frederick W. Faber, 1814-1863 (1849); alt.",,,Faith of our fathers! living still,Faith of our fathers! holy faith!,,
264,265,The Solid Rock,197,1,"SOLID ROCK, L.M. with Chorus","William B. Bradbury, 1816-1868",,"Edward Mote, 1797-1874",,,My hope is built on nothing less,"On Christ, the solid Rock",,
265,266,God’s Love,152,7,,"Elder J. Harvey Daily, 1881-1964",,"Elder J. Harvey Daily, 1881-1964",,,God’s love has meant so much to me,,,
266,267,Whispering Hope,336,5,,"Septimus Winner, 1827-1902","arr. by John T. Cook, b. 1900","Septimus Winner, 1827-1902
under the pseudonymn Alice Hawthorne",,© Copyright 1947 by Stamps Baxter Music Co. in “World Wide Church Songs.” Admin. by I.C.G. ,Soft as the voice of an angel,"Whispering hope, O how welcome",,
267,268,O May I Worthy Prove To See,241,7,"ADIEU, L.M.",,"arr. Elder J. Harvey Daily, 1881-1964",,,,O may I worthy prove to see,,,
268,269,Unsearchable Riches of Grace,SOZ - 14,OSH100,,"Elder Tim McCool 1971- &
Elder Bryce H. Lowrance 1970- (2015)",,"Elder Tim McCool 1971- &
Elder Bryce H. Lowrance 1970- (2015)",,"© Copyright 2017 by McCool & Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.",The thief hung condemned to die,Oh the depths of the riches ,Romans 11:33,
269,270,Great Faith,SOZ - 77,OSH100,,"Elder Bryce H. Lowrance, 1970- (2017)",,"Elder Tim McCool, 1971-  (2016)",,"© Copyright 2017 by McCool & Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.",The centurion sent for the Savior,Jesus marvelled at his great faith,,
270,271,Blissful Hope,199,1,,,,"Amos Sutton, 1802-1854 (1833)",,,"Hail, sweetest, dearest tie that binds","The hope, when days and years are past",,
271,272,When His Body Was Broken For Me,496,11,,"R.H. Cornelius, 1872-1933",,"Johnson Oatman, 1856-1922",,,Looking back thru the years,O love beyond human expression,,
272,273,Living By Faith,602,12,11.8.11.8. with Chorus,J.L. Heath (1918),,"James S. Wells (1918)
4th vs. by R.E. Winsett",,,I care not today what the morrow may bring,Living by faith in Jesus above,,
273,274,My Spirit Looks To God,522,OLH2,"DONALDSON, L.M.","Harmony Class/Seminar on Shaped Notes,
July 2-3, 1990, Henderson State University",,"vs 1 &2 - Isaac Watts, 1674-1748 (1719)
vs 3 - Elder Roland Green, 1924-2011 (1994)",,"3rd verse and music © Copyright 1996 Old School Hymnal Co., Inc.
All right reserved.",My spirit looks to God alone,,,"to the Donaldson, AR Primitive Baptist Church"
274,275,Have Faith In God,582,11,,"B.B. McKinney, 1886-1952",,"B.B. McKinney, 1886-1952",,"© Copyright 1934, Renewal 1962, by Broadman Press. All rights reserved. Used by permission.",Have faith in God when your pathway,"Have faith in God, He’s on His throne",Mark 11:22,
275,276,"Wait, My Soul, Upon The Lord",574,11,"REFUGE, 7’s",Minshall,,"William F. Lloyd, 1791-1853",,,Wait my soul upon the Lord,,,
276,277,The Love Of God,486,OLH2,,"F.H. Leyman, 1868-1953","arr. by Claudia Lehman Mays, 1892-1973","F.H. Leyman, 1868-1953",,,The love of God is greater far,"O love of God,  how rich and pure!",Romans 8:35,
277,278,Prayer,60,1,C.M.,"James C. Moore, 1888-1962",,"Joseph Hart, 1712-1769 (1768)",,,Once more we come before our God,,,
278,279,Sweet Hour Of Prayer,71,1,,"William B. Bradbury, 1816-1868",,"from. W.W. Walford, 1772-1850",,,"Sweet hour of prayer, sweet hour of prayer",,,
279,280,Down At The Feet Of Jesus,63,10,,"Elder Roland Green, 1924-2011",,"Elder Roland Green, 1924-2011",,"© Copyright 1960 Roland Green. Assigned to Old School Hymnal Co., Inc. All rights reserved.",Down at the feet of Jesus,,,
280,281,"Prince Of Peace, Control My Will",100,10,"ALETTA, 7’s","William B. Bradbury, 1816-1868 (1858)",,"Mary A.S. Barber, 1801-1883 (1858)",,,"Prince of Peace, control my will",,,
281,282,Prayer Hymn,59,OLH2,,"Bro. V.J. (Sonny) Lowrance, Jr., 1942-2018",,"Bro. V.J. (Sonny) Lowrance, Jr., 1942-2018",,"© Copyright 1996 Old School Hymnal Co., Inc. All rights reserved.","Jesus Christ, our loving Friend",,,
282,283,Pass Me Not,64,1,8.5.8.5. with Chorus,"William H. Doane, 1832-1915",,"Fanny Crosby, 1820-1915",,,"Pass me not, O gentle Savior","Savior, Savior, hear my humble cry",,
283,284,Sweet the Moments,316,10,"CRUMLY, 8.7.8.7.D.",,"arr. by Elder Roland Green, 1924-2011","James Allen, 1734-1804; alt.",,,Sweet the moments rich in blessing,,,
284,285,"Why, Mourning Soul?",SOZ - 6,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2010)",,"John Dobell, 1757-1840 (1806)",,"© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.","Why, mourning soul, why flow these tears?",,,
285,286,What A Friend,228,1,"CONVERSE, 8.7.8.7.D.","Charles C. Converse, 1832-1918",,"Joseph Scriven, 1820-1886",,,What a friend we have in Jesus,,,
286,287,Now Thank We All Our God,125,10,NUN DANKET,"Johann Crüger, 1598-1662 (1647)","harm. by Felix Mendelssohn, 1809-1847 (1840)","Martin Rinkart, 1586-1649 (ca. 1636)","trans. by Catherine Winkworth, 1827-1878 (1856)",,Now thank we all our God with heart,,,
287,288,The Hour of Prayer Once More Is Come,#11 - 109,10,"PROPSERITY, C.M.D.",E. Sosobee,"arr. by Elder Roland Green, 1924-2011",,,,The hour of prayer once more is come,,,
288,289,I Need The Prayers,111,10,,"James D. Vaughan, 1864-1941",,"James D. Vaughan, 1864-1941",,,I need the prayers of those I love,I want my friends to pray for me,,
289,290,"Have Mercy, Lord",SOZ - 50,OSH100,,"Bro. Austin McCool, 1997-  (2017)",,"Bro. Austin McCool, 1997-  (2017)",,"© Copyright 2017 by Austin McCool in “Songs of Zion.”
All rights reserved. Used by permission.","Have mercy, Lord, for now I see",,,
290,291,I Know Thou Art Near,467,OLH1,,"Elder J.A. Monsees, 1883-1971",,"Elder J.A. Monsees, 1883-1971",,"© Copyright 1944 by J.A. Monsees. Assigned to Old School Hymnal Co., Inc.","Come, dear Lord, I surely need Thee","Savior, hear me when I call Thee",,
291,292,I Must Tell Jesus,342,10,,"E.A. Hoffman, 1839-1929",,"E.A. Hoffman, 1839-1929",,,I must tell Jesus all of my trials,I must tell Jesus! I must tell Jesus!,,
292,293,"I Thank Thee, Lord",459,OLH2,,"Elder Roland Green, 1924-2011 (1994)",,"Sis. Barbara Bates, 1946-1993 (1983)",,"© Copyright 1996 Old School Hymnal Co., Inc. All rights reserved.",For hope when life was dull and drear,,,
293,294,I Love to Steal Awhile Away,81,7,"BROWN, C.M.","William B. Bradbury, 1816-1868",,"Phoebe H. Brown, 1783-1861",,,I love to steal awhile away,,,
294,295,Prayer Is the Soul’s Sincere Desire,148,7,"CAMPMEETING, C.M.",Early American Melody,,"James Montgomery, 1771-1854",,,Prayer is the soul’s sincere desire,,,
295,296,Buy the Truth and Sell It Not,PBH - 187,OSH100,"SOCIAL BAND, L.M.D.",,ed. for Old School Hymnal (2020),,,,The worth of truth no tongue can tell,,Proverbs 23:23,
296,297,"I Love My Savior, God",518,2,"NEWRY, S.M.",attr. to M.C.H. Davis,"arr. by Elder Roland Green, 1924-2011",,,,I love my Savior God because He first ,,,
297,298,Prayer for Faith,304,7,C.M.,"Elder Roland Green, 1924-2011",,"Elder J.A. Monsees, 1883-1971",,,"Oh, for a faith that will not fail",,,
298,299,Jesus Paid It All,136,1,,"John T. Grape, 1835-1915",,"from Elvina M. Hall, 1820-1889 (1865); alt.",,,I hear the Savior say,"Jesus paid it all, All to Him I owe",,
299,300,Be Thou My Vision,236,OLH2,"SLANE, 10.10.10.10.",Ancient Irish Melody,"arr. by Elder Roland Green, 1924-2011 (1994)",Ancient Irish,trans. by Mary Byrne,,"Be Thou my vision, O Lord",,,
300,301,"Savior, I Come",206,OLH2,,"Adam Geibel, 1855-1933",,Ida L. Reed,,,"Savior, I come to Thee, on Thee I call",,,
301,302,What Shall I Render?,259,1,"EDEN, C.M.","Benjamin F. White, 1800-1879","arr. Elder Roland Green, 1924-2011","Isaac Watts, 1674-1748",,,What shall I render to my God?,,Psalm 116,
302,303,I’d Rather Have Jesus,13,OLH2,,"George Beverly Shea, 1909-2013",,"Rhea F. Miller, 1894-1966",,"© Copyright 1939. Renewal 1966 Word, Inc. (ASCAP), 65 Music Square W., Nashville, TN 37203.
All rights reserved, Made in U.S.A. International Copyright Secured. Used by permission.",I’d rather have Jesus than silver or gold,Than to be the king of a vast domain,Joshua 24:15b,
303,304,I Need Thee Every Hour,92,1,,"Robert Lowry, 1826-1899",,"Annie Sherwood Hawks, 1835-1918",,,I need Thee ev’ry hour,"I need Thee, O I need Thee",,
304,305,Footprints of Jesus,245,1,9’s & 4’s,"Asa B. Everett, 1828-1875",,"Mary B.C. Slade, 1826-1882",,,"Sweetly, Lord, have we heard Thee calling",Footprints of Jesus that make,,
305,306,Must Jesus Bear the Cross Alone?,260,1,"MAITLAND, C.M.","George N. Allen, 1812-1877",,"Thomas Shepherd, 1665-1739",,,Must Jesus bear the cross alone,,,
306,307,"Nearer, My God, To Thee",255,1,BETHANY,"Lowell Mason, 1792-1872",,"Sarah F. Adams, 1805-1848",,,"Nearer, my God, to Thee","Nearer, my God, to Thee",,
307,308,I Want To Love Him More,276,9,,W.M. York,,W.M. York,,,With Jesus I would ever be ,I want to love Him more,,
308,309,Happy the Home,332,1,"ST. AGNES, C.M.","John B. Dykes, 1823-1876",,"Henry Ware, 1794-1843",,,Happy the home when God is there,,,
309,310,"O, That I Could Repent",PBH - 215,OSH100,"SHAWMUT, S.M.","Lowell Mason, 1792-1872",,"Charles Wesley, 1707-1788 (1759)",,,"O, that I could repent!",,,
310,311,More Love To Thee,231,10,,"William H. Doane, 1832-1915",,"Elizabeth Prentiss, 1818-1878",,,"More love to Thee, O Christ","More love, O Christ, to Thee",,
311,312,Take My Life and Let It Be,253,1,"YARBROUGH, 7.7.7.7.","William B. Bradbury, 1816-1868",,"Frances R. Havergal, 1836-1879",,,"Take my life, and let it be","Lord, I give my life to Thee",,
312,313,More Holiness Give Me,573,11,,"Philip P. Bliss, 1838-1876",,"Philip P. Bliss, 1838-1876",,,"More holiness give me, more strivings",,,
313,314,I Gave My Life For Thee,264,10,,"Philip P. Bliss, 1838-1876",,"Frances R. Havergal, 1836-1879",,,I gave My life for thee  ,,,
314,315,In All My Lord’s Appointed Ways,339,1,"SAINT’S DELIGHT, C.M. with Chorus",F. Price,"arr. by Elder Roland Green, 1924-2011","John Ryland, 1753-1825",,,In all my Lord’s appointed ways,"I feel like, I feel like I’m on my journey",,
315,316,Draw Me Nearer,263,10,10’s & 7’s with Chorus,"William H. Doane, 1832-1915",,"Fanny J. Crosby, 1820-1915",,,"I am thine, O Lord, I have heard Thy voice","Draw me nearer, nearer blessed Lord",,
316,317,Through The Shadow,84,10,,"Elder A.N. Whitten, 1856-1949",,"Bro. R.W. Cothern, 1889-1965",,,"Master, O why do the clouds hang low?",,,
317,318,Take Time To Be Holy,327,OLH2,,"George C. Stebbins, 1846-1945",,"William D. Longstaff, 1822-1894",,,Take time to be holy,,,
318,319,My Soul Doth Magnify the Lord,350,OLH2,MAGNIFICAT,"arr. by Bro. Logan Green, 1924-2018",,,,,My soul doth magnify the Lord,,,
319,320,Precious Is Our Savior,SOZ - 17,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2017)",,"Elder Ralph E. Harris, 1938-2016",,"© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.",Precious is our Rock of Ages,How I long to meet this Savior,,"for the 2017 Session of Harmony Plains Singing School, Cone, TX."
320,321,Sweet To Follow The Lord,299,7,,Elizabeth N. Weeden,"arr. by Elder J.A. Monsees, 1883-1971",Elizabeth N. Weeden,,,"Lord, how sweet 'tis to see the dear ones",,,
321,322,Let Me Stand By The Mountain,456,9,,"J.N. Henson, 1887-1872",,"J.N. Henson, 1887-1872",,© Copyright 1948 by J.M. Henson. All rights reserved.,As I stand by the side of the mountain,Let me stand by the mountain,,
322,323,O How Happy Are They,284,1,"NEW CONCORD, P.M.",,"arr. by Elder J.A. Monsees, 1883-1971","Charles Wesley, 1707-1788",,,O how happy are they who their Savior,,Revelation 22:14,
323,324,"Sweet, Sweet Spirit",SOZ - 60,OSH100,,"Doris Mae Akers, 1923-1995",,"Doris Mae Akers, 1923-1995",,"© Copyright 1962. Renewed by MANNA MUSIC, INC. 35255 Brooten Road, Pacific City, OR 97315
All Rights Reserved. Used by permission.","There’s a sweet, sweet Spirit in this place","Sweet Holy Spirit, Sweet heavenly Dove,",,
324,325,Sweet Is the Work,PBH - 311,OSH100,,"Elder Bryce H. Lowrance, 1970- (1998)",,"from Isaac Watts, 1674-1748 (1719)",,"© Copyright 1998 by Bryce H. Lowrance. 
All rights reserved. Used by permission.","Sweet it the work, my God, my King",,,
325,326,I Surrender All,502,OLH2,,"Winfield S. Weeden, 1847-1908 (1896)","arr. by Elder Roland Green, 1924-2011 (1995); ed.","Judson W. Van De Venter, 1855-1939 (1896)",,,All to Jesus I surrender,"I surrender all, I surrender all",,
326,327,Trust And Obey,398,OLH2,,"Daniel B. Towner, 1850-1919 (1887)",,"from John H. Sammis, 1846-1919 (1887)",,,When we walk with the Lord,"Trust and obey, for there’s no other way",1st Samuel 15:22,
327,328,Others,544,OLH2,,Elizabeth McE. Shields,,C.D. Meigs,,,"Lord, help me live from day to day","Others, Lord, yes, others",,
328,329,"Spirit Of God, Descend Upon My Heart",75,10,"MORECAMBE, 10.10.10.10.","Frederick C. Atkinson, 1841-1897",,"from Gorge Croly, 1780-1860",,,"Spirit of God, descend upon my heart",,,
329,330,His Eye Is On The Sparrow,577,11,,"Charles H. Gabriel, 1856-1932","arr. by Elder Roland Green, 1924-2011","Mrs. Civilla D. Martin, 1869-1948",,,Why should I feel discouraged?,I sing because I’m happy,,
330,331,Do Not I Love Thee?,286,1,"DETROIT, C.M.",William Bradshaw,"arr. by Elder Roland Green, 1924-2011","Phillip Doddridge, 1702-1751",,,"Do not I love Thee, O my Lord?",,,
331,332,Standing on the Promises,PBH - 288,OSH100,,"Russell K. Carter, 1849-1928 (1886)",,"Russell K. Carter, 1849-1928 (1886)",,,Standing on the promises of Christ my King,"Standing, standing, Standing of the promises",,
332,333,"Purer In Heart, O God",279,11,,"J.H. Fillmore, 1849-1936",,"Fannie Estelle Davison, 1851-1887",,,"Purer, in heart, O Godm Help me to be",,,
333,334,If Jesus Goes With Me,482,OLH2,,"C. Austin Miles, 1868-1946 (1908)",,"C. Austin Miles, 1868-1946 (1908)",,,It may be in the valley where countless,"If Jesus goes with me I’ll go, Anywhere!",,
334,335,Thus Far The Lord Has Led Me On,175,1,"HEBRON, L.M.","Lowell Mason, 1792-1872",,"Isaac Watts, 1674-1748",,,Thus far the Lord has led me on,,,
335,336,Count Your Blessings,437,10,,"E.O. Excell, 1851-1921",,"Johnson Oatman, Jr., 1856-1922",,,When upon life’s billows you are ,"Count your blessings, name them ",,
336,337,To Thy Pastures Fair And Large,271,10,"HENDON, 7’s.","Henri A. Malan, 1787-1864",,James Merrick,,,To Thy pastures fair and large,,,
337,338,A Mighty Fortress,156,10,EIN’ FESTE BURG,"Martin Luther, 1483-1546 (1529)",,"Martin Luther, 1483-1546",trans. by Frederick H. Hedge (1852),,A mighty fortress is our God,,,
338,339,Joy To The World,110,1,ANTIOCH,"George Frederic Handel, 1685-1759","arr. by Lowell Mason, 1792-1872 (1836)","from Isaac Watts, 1674-1748 (1719)",,,Joy to the world! the Lord is come,,,
339,340,Beautiful Star Of Bethlehem,112,9,,"R. Fisher Boyce, 1887-1968",,"Adger M. Pace, 1882-1959",,"© Copyright 1940 James D. Vaughan, Music Publisher/SESAC (a div. of SpiritSound Music).
All Rights Reserved.","Oh, beautiful Star of Bethlehem","Oh, beautiful Star of Bethlehem",,
340,341,In Heav’n My Choicest Treasure Lies,191,10,"ZEPHYR, L.M.","William B. Bradbury, 1816-1868",,from Gadsby’s Collection (1796),,,In heaven my choicest treasure lies,,,
341,342,Hark! The Herald Angels Sing,118,10,MENDELSSOHN,"Felix Mendelssohn, 1809-1847 (1840)","arr. by William Cummings, 1831-1915 (1857)","from Charles Wesley, 1707-1788 (1734)",alt. by George Whitfield (1753),,Hark! the herald angels sing,Hark! the herald angels sing,,
342,343,A Child Of Hope,121,1,"ZERAH, C.M.","Lowell Mason, 1792-1872",,"John Morrison, 1746-1798 (1781)",,,To us a Child of hope is born,,,
343,344,The Babe In The Manger,116,8,8’s & 7’s with Chorus,"Elder J. Harvey Daily, 1881-1964",,"Elder Rees Prather, 1857-1949",,,Shepherds heard the angels singing,"For he came, the Savior came",,
344,345,We Will Glorify,PBH - 576,OSH100,,"Twila Paris, 1958-","arr. by Elder Bryce H. Lowrance, 1970- (2004)","Twila Paris, 1958-",,"© Copyright 1982 by Singspiration Music 
Used by permission of Brentwood-Benson Music Publishing, Inc. All rights reserved.",We will glorify the King of kings,,,
345,346,Star in the East,108,10,,English Tune,"arr. by Elder Roland Green, 1924-2011","from Reginald Heber, 1783-1826",,,"Hail the blest morn, see the great Mediator,",Brightest and best of the sons of the morning,,
346,347,God Moves In A Mysterious Way,14,7,"MEAR, C.M.","attr. to Aaron Williams, 1731-1776 (1760)",,"William Cowper, 1431-1800",,,God moves in a myster’ous way,,,
347,348,"Thy Way, Not Mine, O Lord",297,10,"THOMASSON, S.M.",William Houser,ed. for Old School Hymnal (2020),"from Horatius Bonar, 1808-1889",,,"Thy way, not mind, O Lord",,,
348,349,Walk With God,519,11,,"Bro. Morris Nowlin, 1915-2011",ed. for Old School Hymnal (2020),"Sis. Darrene Nowlin Collins, 1942-",,"© Copyright 1973 by Harp of Ages, Inc. in “Harp of Ages.”
All rights reserved. Used by permission.",I love the quietness of the morning,"Oh, that His grace and mercy guide me",,
349,350,"Oh, For A Closer Walk",371,1,"BALERMA, C.M.","François H. Barthélémon, 1741-1808","arr. by Robert Simpson, 1790-1832","William Cowper, 1731-1800",,,O for a closer walk with God,,,
350,351,Fill Me Now,505,1,,"John R. Sweney, 1837-1899 (1879)",,"Elwood H. Stokes, 1815-1917 (1879)",,,"Hover o’er me, Holy Spirit","Fill me now, fill me now",,
351,352,When Overwhelmed With Doubts,313,10,"DEVOTION, C.M.",Alexander N. Johnson,,"Thomas Ken, 1637-1711",,,When overwhelmed with doubts and fears,,,
352,353,Hand In Hand With Jesus,109,10,,"L.D. Huffstutler, 1887-1977",,"from Johnson Oatman, Jr., 1856-1922",,,Once from my poor sin-sick soul ,Hand in hand we walk each day,,
353,354,Just A Closer Walk With Thee,565,11,,,,,,,"I am weak, but Thou art strong",Just a closer walk with Thee,,
354,355,Sweetly Resting,66,1,,W. Warren Bentley,,"Mary D. James, 1810-1883",,,In the rifted Rock I’m resting,"Now I’m resting, sweetly resting",,
355,356,Time! What An Empty Vapor ’Tis!,91,10,"FLEETING DAYS, C.M.",Henry G. Mann,,"from Isaac Watts, 1674-1748",,,Time! what an empty vapor ’tis,,,
356,357,"Savior, Like A Shepherd Lead Us",58,1,"SHEPHERD, 8.7.8.7.D.","William B. Bradbury, 1816-1868 (1859)",,"Dorothy A. Thrupp, 1779-1847 (1836)",,,"Savior, like a shepherd lead us",,,
357,358,He Leadeth Me,161/PBH-450,10,L.M. with Chorus,"William B. Bradbury, 1816-1868 (1864)",,"Joseph Gilmore, 1834-1918 (1862)",,,He leadeth me! O blessed tho’t!,"He leadeth me, He leadeth me!",,
358,359,"Guide Me, O Thou Great Jehovah",79,1,OLIPHANT,,"arr. by Lowell Mason, 1792-1872","William Williams, 1717-1791 (1745)","trans. by Peter Williams, 1723-1796 (1771)",,"Guide me, O Thou great Jehovah",,,
359,360,Our Father Cares,151,9,,"Bro. J.F. Parker, 1901-1970",,"Bro. J.F. Parker, 1901-1970",,,Here our heav’nly Father knows,,Matthew 6:26-28,
360,361,All The Way My Savior Leads Me,523/PBH-447,OLH2,ALL THE WAY,"Robert Lowry, 1826-1899",,"Fanny J. Cosby, 1820-1915",,,All the way my Savior leads me,,,
361,362,God’s Promise,182,7,9’s,"Elder J. Harvey Daily, 1881-1964",,"Sis. Annie Johnson Flint, 1866-1932",,,God has not promised skies always blue,,,
362,363,"Come, All Ye Mourning Pilgrims",180,10,PILGRIM,"John B. Dykes, 1823-1876","Arr. by Elder Roland Green, 1924-2011",,,,"Come, all ye mourning pilgrims",,,
363,364,The Twenty-Third Psalm,181,11,C.M.D.,"Elder Roland Green, 1924-2011","arr. by Elder Roland Green, 1924-2011","Bro. O. B. A. White, 1885-1984",,"© Copyright 1983 Old School Hymnal Co., Inc. All rights reserved.",The Lord my precious Shepherd is,,,
364,365,Grace Sufficient,SOZ - 33,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2015)",,"Elder Bryce H. Lowrance, 1970-  (2015)",,"© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.","When I am weak, Your perfect strength upholds me","O, may the pow’r of Christ rest upon me",2nd Corinthians 12:7-10,"for the 2015 Sesson of Grace Singing School, NC."
365,366,Children Of The Heavenly Father,587,OLH2,TRYGGARE KAN IGEN VARA,Swedish Folk Melody,"arr. by Elder Roland Green, 1924-2011 (1994)","Lina Sandell, 1832-1903","trans. by Ernst Olson, 1870-1958",,Children of the heav’nly Father,,,
366,367,God Will Take Care Of You,149,10,C.M. with Chorus,"W. Stillman Martin, 1862-1935",,"Civilla D. Martin, 1869-1948",,,Be not dismayed whate’er betide,God will take care of you,,
367,368,"Jesus, Savior, Pilot Me",87,1,,"John E. Gould, 1822-1875",,"Edward Hopper, 1818-1888",,,"Jesus, Savior, pilot me over life’s",,,
368,369,Better Farther On,209,4,,,,,,,As we travel thru the desert,"Farther on, still go farther",,
369,370,Abide With Me,387,2,"EVENTIDE, 10.10.10.10.","William Henry Monk, 1823-1889",,"from Henry F. Lyte, 1793-1847",,,Abide with me; fast falls the eventide,,,
370,371,Lead Thou Me,305,10,8.7.8.7. with Chorus,"Elder Levi Saylor, 1890-1972",,Sis. S.W. Straub,,,When the day of life is brightest,"Father, Father, wilt Thou lead me?",,
371,372,Heal Me By Thy Mighty Power,238,10,7.7.7.7.D.,"Bro. Ernest L. Parker, 1907-1999",,"Sis. Willie Jo Strevel, 1926-2014",,"© Copyright 1963 Old School Hymnal Co., Inc. All rights reserved.","Heal me by Thy mighty pow’r, Lord",,,
372,373,The Lord Remembers Me,225,7,8’s & 6’s,"Elder John R. Daily, 1854-1920",,"Elder John R. Daily, 1854-1920",,,Amid the sorrows of the way,The Lord remembers me,,4th verse dedicated to the deceased author by Elder J.A. Monsees
373,374,Lone Pilgrim,147,7,11’s & 8’s,L. Commack,ed. for Old School Hymnal (2020),F. Fowler,,,"Ye pilgrims of Zion, and chosen of God",,Job 17:9,
374,375,How Oft’ I Take My Cares To Him,NEW - 116,OSH100,,"Sis. Laney Hocutt, 2001- (2019)",,"Sis. Laney Hocutt, 2001- (2019)",,© Copyright 2019 by Laney Hocutt. All rights reserved. Used by permission.,How oft’ I take my cares to Him,,1 John 5:14; Ephesians 2:18; Ephesians 3:14-20,
375,376,Safe In The Arms Of Jesus,395,1,7.6.7.6.D. with Chorus,"William H. Doane, 1832-1915",,"Fanny J. Crosby, 1820-1915",,,Safe in the arms of Jesus,Safe in the arms of Jesus,,
376,377,"Jesus, Thou Art The Sinner’s Friend",422,1,"PISGAH, C.M.","Joseph C. Lowry, b.1820","arr. by Elder Roland Green, 1924-2011   ed. for Old School Hymnal (2020)","Richard Burnham, 1749-1810 (1796)",,,"Jesus, Thou art the sinner’s friend",,,
377,378,The Lord Is My Light,412,9,,L.D. Morris,,"J.M. Henson, 1887-1972",,© Copyright 1944 in “Sing Aloud.” Owned by Henson and Morris.,The Lord is my light and my joy ev’ry day,The Lord is the light of my soul,,
378,379,He’ll See Me Thru,243,10,,"Elder Roland Green, 1924-2011",,"Elder Roland Green, 1924-2011",,"© Copyright 1963 Old School Hymnal Co., Inc. All rights reserved.",Standing with gaze out on the tomorrow,"Jesus is faithful, Jesus is faithful",,"Dedicated to Tarrant, Alabama High School, Class of 1961"
379,380,God’s Providence,PBH - 451,OSH100,,"Elder Bryce H. Lowrance, 1970-  (1999)",,"Elder Bryce H. Lowrance, 1970-  (1999)",,"© Copyright 1999 by Bryce H. Lowrance.
All rights reserved. Used by permission.",The hand that wrought salvation true,,Genesis 50:20; Philippians 1:12-13,
